comarca,serventia,codigo_serventia,colunas_nao_correspondentes
GOIANIA,8a VARA DA FAZENDA PUBLICA ESTADUAL,89848,
GOIANIA,8a VARA DE FAMILIA,87286,
GOIANIA,8o CENTRO JUDICIARIO DE SOLUCAO DE CONFLITOS E CIDADANIA,83732,
GOIANIA,8o JUIZADO ESPECIAL CIVEL,11446,
GOIANIA,9a VARA CIVEL,11411,
GOIANIA,9a VARA CRIMINAL DOS CRIMES PUNIDOS COM RECLUSAO E DETENCAO,78753,
GOIANIA,9o JUIZADO ESPECIAL CIVEL,11447,
GOIANIA,AUDITORIA MILITAR,11435,
GOIANIA,CENTRAL ESTADUAL DE CONCILIACAO PRE-PROCESSUAL,88108,
GOIANIA,GABINETE DA CENTRAL DE CUMPRIMENTO DE SENTENCA CIVEL - JUIZ 1,89696,
GOIANIA,GABINETE DA CENTRAL DE CUMPRIMENTO DE SENTENCA CIVEL - JUIZ 2,89697,
GOIANIA,GABINETE DA CENTRAL DE CUMPRIMENTO DE SENTENCA CIVEL - JUIZ 3,89698,
GOIANIA,NUCLEO DA JUSTICA 4.0 - FINALIZAR,88409,
GOIANIA,NUCLEO DE JUSTICA 4.0 - EXECUCAO FISCAL,86699,
GOIANIA,VARA DE EXECUCAO DE PENAS E MEDIDAS ALTERNATIVAS,11421,
ABADIANIA,VARA JUDICIAL,11501,
ALEXANIA,VARA JUDICIAL,11532,
ALTO PARAISO DE GOIAS,VARA JUDICIAL,11546,
ALVORADA DO NORTE,VARA JUDICIAL,11551,
ARACU,VARA JUDICIAL,11555,
ARUANA,VARA JUDICIAL,13173,
AURILANDIA,VARA JUDICIAL,11589,
BARRO ALTO,VARA JUDICIAL,12713,
BELA VISTA DE GOIAS,VARA JUDICIAL,11593,
BURITI ALEGRE,VARA JUDICIAL,11595,
CACHOEIRA ALTA,VARA JUDICIAL,11597,
CACU,VARA JUDICIAL,11602,
CAMPINORTE,VARA JUDICIAL,11610,
COCALZINHO DE GOIAS,VARA JUDICIAL,13558,
CORUMBA DE GOIAS,VARA JUDICIAL,11621,
CORUMBAIBA,VARA JUDICIAL,11623,
EDEIA,VARA JUDICIAL,11632,
ESTRELA DO NORTE,VARA JUDICIAL,12842,
FAZENDA NOVA,VARA JUDICIAL,11636,
FIRMINOPOLIS,VARA JUDICIAL,11637,
FLORES DE GOIAS,VARA JUDICIAL,13804,
FORMOSO,VARA JUDICIAL,12964,
GOIANAPOLIS,VARA JUDICIAL,11639,
GOIANDIRA,VARA JUDICIAL,11640,
IACIARA,VARA JUDICIAL,11645,
ITAJA,VARA JUDICIAL,11507,
ITAPACI,VARA JUDICIAL,11508,
ITAPIRAPUA,VARA JUDICIAL,11511,
ITAUCU,VARA JUDICIAL,11523,
JANDAIA,3o CEJUSC REGIONAL VIRTUAL DO INTERIOR,87910,
JANDAIA,VARA JUDICIAL,11521,
JOVIANIA,VARA JUDICIAL,11553,
LEOPOLDO DE BULHOES,VARA JUDICIAL,11556,
MARA ROSA,VARA JUDICIAL,17261,
MAURILANDIA,VARA JUDICIAL,17262,
