comarca,serventia,codigo_serventia,colunas_nao_correspondentes
MINEIROS,"VARA DE FAMILIA, SUCESSOES E CIVEL",11517,
FORMOSA,JUIZADO ESPECIAL CIVEL E CRIMINAL,11518,
JANDAIA,VARA JUDICIAL,11521,
MINEIROS,JUIZADO ESPECIAL CIVEL E CRIMINAL,11522,
ITAUCU,VARA JUDICIAL,11523,
FORMOSA,"1a VARA CRIMINAL (CRIMES DOLOSOS CONTRA A VIDA, PRES. TRIB. JURI E EXECUCOES PENAIS)",11524,
MINACU,"VARA CIVEL, INFANCIA E JUVENTUDE E JUIZADO ESPECIAL CIVEL",11525,
GOIANESIA,"1a VARA (CIVEL, DE FAMILIA, SUCESSOES E DA INFANCIA E DA JUVENTUDE)",11528,
AGUAS LINDAS DE GOIAS,"2a VARA CIVEL, FAMILIA E SUCESSOES",11529,
GOIANESIA,VARA DAS FAZENDAS PUBLICAS E REGISTROS PUBLICOS,11530,
AGUAS LINDAS DE GOIAS,JUIZADO ESPECIAL CIVEL E CRIMINAL,11531,
ALEXANIA,VARA JUDICIAL,11532,
GOIAS,"VARA CIVEL, INFANCIA E JUVENTUDE E JUIZADO ESPECIAL CIVEL",11533,
GOIAS,VARA DAS FAZENDAS PUBLICAS E REGISTRO PUBLICO E DE FAMILIA E SUCESSOES,11534,
GOIAS,"VARA CRIMINAL (CRIME EM GERAL, CRIMES DOLOSOS CONTRA A VIDA E PRES. DO TRIB. DO JURI, EXECUCAO PENAL E JUIZADO ESPECIAL CRIMINAL)",11535,
JATAI,JUIZADO ESPECIAL CIVEL E CRIMINAL,11539,
GOIATUBA,JUIZADO ESPECIAL CIVEL E CRIMINAL,11540,
MINACU,"VARA CRIMINAL (CRIME EM GERAL, CRIMES DOLOSOS CONTRA A VIDA E PRES. DO TRIB. DO JURI, EXECUCAO PENAL E JUIZADO ESPECIAL CRIMINAL)",11541,
MORRINHOS,"1a VARA (CIV., CRIMINAL - CRIME EM GERAL E EXEC. PENAIS - E DA INF. E DA JUV.)",11543,
ALTO PARAISO DE GOIAS,VARA JUDICIAL,11546,
MORRINHOS,JUIZADO ESPECIAL CIVEL E CRIMINAL,11547,
NIQUELANDIA,"VARA DE FAMILIA, SUCESSOES, DA INFANCIA E DA JUVENTUDE CIVEL E DAS FAZENDAS PUBLICAS E REGISTRO PUBLICO",11550,
ALVORADA DO NORTE,VARA JUDICIAL,11551,
NIQUELANDIA,VARA CIVEL E JUIZADO ESPECIAL CIVEL,11552,
JOVIANIA,VARA JUDICIAL,11553,
PALMEIRAS DE GOIAS,VARA JUDICIAL,11554,
ARACU,VARA JUDICIAL,11555,
LEOPOLDO DE BULHOES,VARA JUDICIAL,11556,
MONTES CLAROS DE GOIAS,VARA JUDICIAL,11559,
IPAMERI,"1a VARA (CIVEL, CRIMINAL - CRIME EM GERAL E EXEC. PENAIS - E DA INFANCIA E DA JUVENTUDE)",11562,
IPAMERI,JUIZADO ESPECIAL CIVEL E CRIMINAL,11563,
PORANGATU,"1a VARA CIVEL, DE FAMILIA E SUCESSOES E DA INFANCIA E JUVENTUDE",11565,
NAZARIO,VARA JUDICIAL,11566,
PORANGATU,JUIZADO ESPECIAL CIVEL E CRIMINAL,11569,
IPORA,"2a VARA (CIVEL, CRIMINAL - CRIME EM GERAL, CRIMES DOLOSOS CONTRA A VIDA E PRES. DO TRIB. DO JURI, DAS FAZ. PUB., DE REG. PUB. E AMBIENTAL)",11570,
POSSE,"1a VARA JUDICIAL (FAMILIA E SUCESSOES, INFANCIA E JUVENTUDE, CIVEL, DE REGISTROS PUBLICOS, AMBIENTAL E JUIZADO ESPECIAL CIVEL)",11571,
LUZIANIA,1a VARA (CIVEL E DA FAZ. PUB. ESTADUAL),11572,
IPORA,JUIZADO ESPECIAL CIVEL E CRIMINAL,11573,
LUZIANIA,"2a VARA (CIVEL, DA FAZ. PUB. MUN., DE REG. PUB. E AMB.)",11576,
LUZIANIA,1a VARA DE FAMILIA E SUCESSOES,11578,
ORIZONA,VARA JUDICIAL,11579,
LUZIANIA,"1a VARA CRIMINAL (CRIMES DOLOSOS CONTRA A VIDA, PRES. TRIB DO JURI E EXECUCOES PENAIS)",11580,
PARANAIGUARA,VARA JUDICIAL,11583,
PARAUNA,VARA JUDICIAL,11585,
PETROLINA DE GOIAS,VARA JUDICIAL,11586,
AURILANDIA,VARA JUDICIAL,11589,
SENADOR CANEDO,JUIZADO ESPECIAL CIVEL E CRIMINAL,11591,
BELA VISTA DE GOIAS,VARA JUDICIAL,11593,
BURITI ALEGRE,VARA JUDICIAL,11595,
SILVANIA,VARA JUDICIAL,11596,
CACHOEIRA ALTA,VARA JUDICIAL,11597,
PIRANHAS,VARA JUDICIAL,11598,
TURVANIA,VARA JUDICIAL,11599,
URUANA,VARA JUDICIAL,11601,
CACU,VARA JUDICIAL,11602,
